question_id,question_intent,gold_chunk_id,gold_doc_id,retrieved_chunk_ids_dense,rank_of_first_relevant_dense,retrieved_in_top_k_dense,retrieval_score_dense,retrieved_chunk_ids_sparse,rank_of_first_relevant_sparse,retrieved_in_top_k_sparse,retrieval_score_sparse,retrieved_chunk_ids_hybrid,rank_of_first_relevant_hybrid,retrieved_in_top_k_hybrid,delta_de_hy_rank,retrieved_chunk_ids_reranked,rank_of_first_relevant_reranked,retrieved_in_top_k_reranked,delta_hy_re_rank
23,definition,23,S2 Resolution by Level â€” Authoritative Reference.pdf,3|22|15|5|10|9|36|19|8|40|1|21|31|37|13|17|24|4|27|12|23|35|0|14|20|39|29|32|38|41|34|7|11|33|26|18|28|30|2|6|25|16,21,FALSE,0.6640799445405556|0.650846126814813|0.6486198151632738|0.6458259370995914|0.6407407190535815|0.6375216836412482|0.6335499122745559|0.6333437905819232|0.6329853685288472|0.6191002076382479|0.6120587665209469|0.6110580274618074|0.6017724982459018|0.6011315977390465|0.6007610847695726|0.5996054330264055|0.5924347148109872|0.2813269252132527|0.24531971725077267|0.2219045826453899|0.21984043627353955|0.21748734942904843|0.20799070401590197|0.20737962909779642|0.20032528668805652|0.19661030015248018|0.19589557044473688|0.14868788818855136|0.14562606091385571|0.1298813610713818|0.12825208369110006|0.11977952453974475|0.10740441227817975|0.09626018323589786|0.08834990365559628|0.0876585439153891|0.08566056131554081|0.08461053791797529|0.08373906401250103|0.08190575749537748|0.06086901830026817|0.05781919719957195,23|14|18|2|21|28|20|26|16|27|7|12|30|15|3|1|6|22|29|5|32|39|40|17|19|0|11|35|31|37,1,TRUE,11.851274823365603|8.562263115469008|3.6507595955205394|3.532185111098746|3.242903590833076|3.2181470085280073|3.1546555147143582|3.0460425074352333|2.9027298665590235|2.870174077981083|2.7286503345157973|2.6987308361635276|2.6879647235511634|2.594912378039762|2.2945312194882432|1.684785312447978|1.684785312447978|1.6827515471154926|1.6731720558124688|1.6274795176905277|1.5706945669413759|1.564704932174124|1.5587608052195414|1.5324739151898081|1.3994761775043207|1.2182968847832851|1.0671089315586404|1.0663259614844558|1.0272488269112927|0.9988368027315467,3|22|15|5|1|21|27|12|23|14|20|29|7|26|18|28|30|2|6|16|10|9|36|19|8|40|31|37|13|17|24|4,9,FALSE,12,23|3|15|21|5|1|22|19|17|40|31|37|14|27|12|20|18|29|39|35|7|2|0|28|26|30|32|16|6|11|4|8|9|10|13|24|25|33|34|36|38|41,1,TRUE,8
24,numeric / factual,24,S2 Resolution by Level â€” Authoritative Reference.pdf,15|19|22|5|3|10|9|36|1|13|21|31|40|8|24|37|17|4|12|35|14|7|0|32|20|39|29|27|38|41|23|11|34|33|28|26|18|30|2|6|25|16,15,FALSE,0.6392592262077023|0.623494670062313|0.622321280290206|0.6217497370882322|0.6197802798915941|0.6093993874728888|0.6004252145092012|0.5968405244264589|0.5944792124649586|0.5931242208580593|0.5888105252535423|0.5853463679501202|0.5835225877265949|0.5805768681669378|0.5623160237569409|0.5601029700671908|0.5525002388627248|0.2916458751840057|0.23089750667842046|0.22788734757715154|0.2246204955451669|0.21742122153079912|0.21641516947958905|0.21620356105611105|0.2052869450009907|0.20382549644680764|0.19208439882306488|0.1700872590000161|0.15132719796923355|0.13418302559663747|0.12426150877852211|0.1111074353750543|0.1080030199876836|0.0964851274167747|0.08708047345228055|0.08445244032468335|0.08367286643486266|0.08254710631186139|0.0803010437359091|0.0754146641721958|0.05750051384612557|0.05454875796722082,23|28|14|26|16|20|21|27|17|15|18|40|9|29|39|38|37|30|25|32|5|34|12|2|36|11|35|22|31|19|24|0|7|33|8|13|1|4,31,FALSE,10.42836041835676|10.316545227873819|9.753729419212497|8.23892966526913|7.737346319675176|7.034127191611929|6.974884566229855|6.641012039776376|6.181688955008802|5.03472542626899|5.013398703963524|4.228315310003713|3.638836225430297|3.206373863160561|3.0646386805339727|2.9775225174570332|2.9347909624145156|2.6879647235511634|2.531320153693408|2.510455213172304|2.508794220003619|2.130130199606328|2.0942357534100196|1.9229509335931967|1.899415708356294|1.747539960091478|1.7043183476227914|1.6827515471154926|1.6822634699182344|1.3994761775043207|1.2850814939911979|1.2182968847832851|1.1372569430112482|1.1056132739219564|1.001073846895495|0.9635000574513101|0.7203625509102908|0.7203625509102908,15|9|21|40|37|17|14|32|20|39|29|27|38|23|28|26|18|30|25|16|19|22|5|3|10|36|1|13|31|8|24|4|12|35,31,FALSE,-16,21|15|17|9|40|5|14|23|37|19|31|36|22|24|28|13|1|8|20|26|27|16|39|18|29|32|12|4|35|38|0|7|34|30|11|25|2|33|3|6|10|41,14,FALSE,17
25,numeric / factual,25,S2 Resolution by Level â€” Authoritative Reference.pdf,3|22|19|5|36|10|15|13|31|21|9|40|1|8|24|37|17|23|7|32|14|35|29|20|0|4|38|34|27|12|33|39|26|28|18|2|30|6|41|11|25|16,41,FALSE,0.5695259449425686|0.5662095771378913|0.5598857192067868|0.5593256887212137|0.5580804465507522|0.5465105208018828|0.5462863009877431|0.5454882231351912|0.5451082813304726|0.5345427223093943|0.533769031337803|0.5293753597590016|0.5250379366519644|0.5215320992527989|0.5081897420143471|0.5065348972807939|0.5059812510392824|0.2395981561845612|0.23828947067422715|0.23543081597631627|0.2228477846497972|0.21786328786847775|0.21350221207640097|0.21280570805455534|0.20628975923803491|0.2001128446891124|0.16387145810559145|0.1285531147589685|0.12482537439739361|0.11050827907134629|0.10595217333662882|0.07694284498438629|0.07632741449158936|0.07623037858621132|0.07558909851207318|0.0739807000434712|0.07272914200295466|0.07114780108567485|0.06713452954963883|0.06197837381644969|0.051167712179627574|0.04851046879571949,18|14|28|26|17|23|20|16|15|11|27|25|21|8|1|5|32|22|19|9|35|36|30|31,12,FALSE,8.802089235293334|8.562263115469007|7.278414771356736|6.470029860950108|6.426807420069332|5.820753086016926|5.378490502923444|5.071497528064723|5.03472542626899|4.66678441416378|4.5513214208904476|3.7377128383948275|3.4076086869098097|3.4075042308111976|2.956610426058765|2.856045143941438|1.9114236590479479|1.6827515471154926|1.3994761775043207|1.3626391084429845|1.2976429115734713|1.2155134018109486|1.0612262852296992|1.0272488269112927,22|19|5|15|21|9|1|8|17|23|32|14|20|27|26|28|18|11|25|16|3|36|10|13|31|40|24|37|7,19,FALSE,22,17|15|21|8|14|5|1|36|22|19|9|31|18|23|20|28|26|27|11|32|16|35|25|30|0|2|3|4|6|7|10|12|13|24|29|33|34|37|38|39|40|41,23,FALSE,-4
26,mechanistic,26,S2 Resolution by Level â€” Authoritative Reference.pdf,3|36|5|10|15|22|19|9|31|13|1|40|37|21|8|24|17|4|39|12|14|7|27|11|29|35|20|32|33|41|23|0|38|26|18|30|28|2|6|34|25|16,34,FALSE,0.6716631641481006|0.6702649876706783|0.664592875560801|0.6551814041879233|0.6515378161699857|0.6504490472182297|0.6457060854572175|0.639251249386584|0.6350401283292126|0.6297546762110575|0.626197662304623|0.6205130798977654|0.6153045415064797|0.6146598899161776|0.6124525211224322|0.6028098601777707|0.5984232461043504|0.2623337666558626|0.2489681147660505|0.23175726351881776|0.22826437561034696|0.2212476835047609|0.21195623415756015|0.21190202896844998|0.20815007319031167|0.20755256429313912|0.19994365953496063|0.1947479523302514|0.14098805125790811|0.13585207449647285|0.12570386824364357|0.10402256330678844|0.09756043008230722|0.08969198494506433|0.08612562298452905|0.08559284235032767|0.0851986340557341|0.08227764507099762|0.08063326713891822|0.06375745759654856|0.06250371092065789|0.057238562671900146,25|26|23|18|5|2|27|14|28|17|22|7|21|20|40|39|4|12|6|11|33|32|36|35|16|15|0|29|1|30|41|19|38|8|37|13|3|9|31|34,2,TRUE,11.485955976496369|8.81236548309496|8.436378279241412|7.977349313355132|7.1321408411455085|5.641688957534573|5.146876532569186|4.2282136092116005|3.9283552423823975|3.813968683902033|3.406536721534009|3.1345758939329587|3.0535141469352975|2.962600951028237|2.924614802854175|2.869127606019013|2.862100446286609|2.862002174273745|2.7850827372622167|2.6777499794545485|2.6690654321328475|2.510455213172304|2.494920721216598|2.4321799591190896|2.253973148290223|2.0698932091198055|2.0498920684969177|1.6731720558124688|1.65465962400508|1.6267384383214643|1.527314447020724|1.3994761775043207|1.3245478190009203|1.001073846895495|0.9988368027315467|0.9635000574513101|0.887425844235006|0.716159722586901|0.6550146430069418|0.6379923861383356,5|22|40|21|17|4|39|12|14|7|27|11|20|23|26|18|28|2|6|25|3|36|10|15|19|9|31|13|1|37|8|24,15,FALSE,19,5|36|22|15|17|40|21|19|3|1|13|9|31|37|8|25|23|26|18|14|27|39|4|7|20|12|11|2|35|32|28|29|33|6|41|0|16|30|38|34|10|24,18,FALSE,-3
27,rationale,27,S2 Resolution by Level â€” Authoritative Reference.pdf,36|22|3|15|10|5|1|9|37|19|13|21|40|8|31|17|24|32|27|39|23|12|29|7|14|4|20|11|33|41|35|0|38|30|18|26|28|2|6|25|34|16,19,FALSE,0.7693389263865729|0.7419487037974061|0.7407267817674368|0.7380951761858175|0.7354672745438835|0.7335961903880391|0.7328675623783538|0.7244029566449631|0.7193865218724087|0.716990693200764|0.7127146121302441|0.7038391131074523|0.7025494178162456|0.6977276665695799|0.6893090537994829|0.682544579527898|0.6616598254221815|0.25278028170872613|0.22827487143540093|0.2266536711353692|0.21284337704703868|0.21172944039584193|0.20690561144476816|0.19934314106464146|0.1991116766848938|0.19846217179685013|0.19583315339938823|0.19370213832645797|0.16001892758470684|0.14572566137745993|0.12657699300719216|0.10998167859001048|0.09949257461328526|0.09885072445596545|0.09885045626092828|0.09864920307759767|0.09603537168034715|0.09591673487919299|0.09287434641865683|0.06994084792155719|0.06596437449315475|0.06588808555624195,27|26|28|21|17|18|20|29|25|0|35|32|7|23|2|15|19|9|40|14|16|12|36|8|39|13|33|11|1|34|30|3|38|37|5|4|31,1,TRUE,12.20826822319439|10.022719919195115|9.367844402642461|9.293416872524809|7.66317347612519|7.005344906187254|6.830127660319613|6.502976475627969|5.551182412120882|4.559889807659805|4.494099072664255|4.421878872220252|4.261124249705605|4.071078288548478|3.9643077727729534|3.9049925366707026|3.8895003879802923|3.6682101814785337|3.6593668844508542|3.6148460133191223|3.5450991820179416|3.149643895198861|2.7503532083384017|2.571041703116495|2.5704855946838374|2.4745415499013226|2.1113939364316696|2.0643919035750553|1.8500954405085777|1.6385454840512874|1.6267384383214643|1.6002640608745624|1.5889925650856453|0.9988368027315467|0.9929757052417257|0.7203625509102908|0.6550146430069418,15|9|19|21|40|17|32|27|23|29|7|14|20|35|0|18|26|28|2|25|36|22|3|10|5|1|37|13|8|31|24|39,8,FALSE,11,21|17|15|9|19|36|40|27|3|13|1|8|5|37|31|26|28|20|29|18|32|23|7|35|14|25|12|0|39|11|2|16|33|4|30|38|34|6|10|22|24|41,8,FALSE,0
28,rhetorical / summary,28,S2 Resolution by Level â€” Authoritative Reference.pdf,22|36|19|3|15|5|10|1|37|40|21|13|9|31|8|17|24|4|7|23|32|0|35|14|29|11|12|20|27|39|41|38|34|33|26|30|28|18|2|6|25|16,37,FALSE,0.6998860440135328|0.6964955210254942|0.6957631576788167|0.6936327683816674|0.6932400507420268|0.6868394832265239|0.6786892993828705|0.6762282859750737|0.6685299284914609|0.663569986904137|0.6629868320323653|0.6606061164239724|0.6541233118495086|0.6490726106392182|0.6447088019982063|0.6393461331990642|0.5999466557874311|0.2297826597680126|0.21800357911166332|0.21025005709565903|0.2093462297348848|0.20652470146098578|0.2043274161309919|0.2037260650732611|0.20335373029586348|0.2032211496047314|0.19899460461055218|0.19744310018588157|0.19361321209776036|0.1886440354099477|0.18686699132172177|0.13786062341303285|0.11694565178248922|0.11459049135276035|0.09456256812375892|0.09218209823385203|0.09077139034656488|0.09070316771065313|0.09038461088369283|0.08619032639350584|0.06369014837208516|0.06026992771821939,28|14|21|27|12|15|40|23|6|2|18|7|39|29|20|19|0|26|38|37|16|30|32|5|9|17|36|11|3|35|22|31|33|8|13|1|4|34|25,1,TRUE,17.183588921301425|14.76209789710503|5.895712071957222|5.228942092128185|4.856331771407484|4.558494654711985|4.228315310003713|4.018872807278827|3.778445072614342|3.6564295062843493|3.6507595955205394|3.5991042699654088|3.312846551584683|3.206373863160561|3.1546555147143582|3.1329547501954735|3.0547139384228714|3.0460425074352333|2.9775225174570332|2.9347909624145156|2.9027298665590235|2.6879647235511634|2.510455213172304|2.508794220003619|2.2761971169873125|2.212904943722646|1.899415708356294|1.747539960091478|1.7238158988605117|1.7043183476227914|1.6827515471154926|1.6822634699182344|1.1056132739219564|1.001073846895495|0.9635000574513101|0.7203625509102908|0.7203625509102908|0.6379923861383356|0.5947175978503022,19|15|37|40|21|7|23|0|14|29|12|20|27|39|38|26|28|18|2|6|22|36|3|5|10|1|13|9|31|8|17|24|4,17,FALSE,20,15|21|19|40|3|5|37|36|17|22|31|28|9|14|1|13|8|27|12|23|7|0|20|29|39|11|32|35|4|18|6|2|38|26|30|16|33|34|25|10|24|41,12,FALSE,5
29,definition,29,Step 1 ATLAS Score.pdf,3|5|19|22|10|36|15|1|9|8|21|31|13|40|17|37|24|39|4|35|0|29|7|12|11|20|23|27|38|32|34|41|14|33|28|26|18|30|2|6|25|16,22,FALSE,0.6428554121372997|0.6316423893661701|0.6212380570609132|0.6203870876349327|0.6181562859208315|0.6142344048234726|0.6088338642908458|0.6005427765669794|0.5975032009281548|0.590506547812131|0.5887252051848902|0.5870478924479051|0.5867683488231211|0.5799188597905648|0.57787596942999|0.5733374768436201|0.5624589845807846|0.25887999557072716|0.25816359795130833|0.23591426536740945|0.2202843549649918|0.2163102138278572|0.21535673064169703|0.2151220426485071|0.2142859975545304|0.20812371891735154|0.19717589898762555|0.16350201791723243|0.15278230784829572|0.15267489271585277|0.13275962270120886|0.12709068621714006|0.12116023777398684|0.1096228967455529|0.08515487105848035|0.08372478273736991|0.08220111115891525|0.08170049661259628|0.08095917740924631|0.0788949521644364|0.055097738385255966|0.05425926527477351,29|14|40|41|32|35|1|2|0|12|37|27|9|39|7|21|5|38|8|34|36|30|13|3|31|33|28|25|17|10|4|24|11|18|16|23,1,TRUE,16.951388904003778|9.588589836651687|7.86183849582025|7.017536727783584|6.952461333056153|6.824701150434208|6.074855941165881|5.926144655567287|5.848978920529781|5.277604948175913|5.143943134485561|4.839556491646823|4.660090055709651|4.570619236688129|4.539476118676097|4.208692648431844|3.9783854956387694|3.5661862322732705|3.505541868823612|3.3726050658480693|3.265296804337369|3.2534768766429285|3.1436560489361405|2.4520090526129135|2.328619889336148|2.2346242409701036|1.9460743351716172|1.3089347914046168|1.2116397961291807|1.1364019357505541|1.1119672692994005|0.787780317365655|0.6804310285328378|0.5509452632809687|0.36785794624627677|0.3541901497740778,5|1|9|8|21|40|37|39|35|0|29|7|12|27|38|32|34|41|14|2|3|19|22|10|36|15|31|13|17|24|4,11,FALSE,11,1|40|29|9|37|5|36|8|3|13|21|31|10|17|24|35|14|39|0|12|41|32|7|27|4|34|38|2|11|23|33|30|28|18|25|16|6|15|19|20|22|26,3,TRUE,8
30,factual,30,Step 1 ATLAS Score.pdf,36|15|5|3|22|19|31|10|9|40|1|13|37|21|8|17|24|27|32|33|23|14|35|0|4|12|20|29|39|41|38|11|7|26|18|2|30|28|6|34|25|16,37,FALSE,0.7789983464600165|0.7726724674098358|0.7717558008389173|0.7692564673880833|0.7685304965944483|0.767089858553848|0.7518485731567933|0.7478217954323804|0.7425612821460924|0.7419530123621901|0.7407464944078382|0.7391868453632799|0.7250800969477611|0.7211062889971683|0.7205058385796621|0.691591665104129|0.648633041320136|0.26955652675495895|0.26131317507998597|0.21462501108187929|0.21118018019333404|0.20511663026656698|0.2050605299836791|0.20166213046917825|0.20024713294633006|0.19787005828733908|0.19605060273010524|0.1868195854456958|0.18388402463631115|0.18247666354586303|0.14087373732222472|0.1281320765298082|0.12382680443464045|0.1053396203201524|0.1020947538295494|0.1002824544310696|0.0995387627242039|0.09876651762974774|0.09706429300603796|0.08927559674036385|0.0687541667581317|0.06523614627434168,30|31|11|39|32|2|1|10|14|9|33|34|7|8|16|28|3|6|23|38|5|12|20|35|40|13|22|27|18|26|17|4|19|15|41|0|29|37|25|36,1,TRUE,13.912373335684807|8.526184919714456|8.03064030673333|7.464324231247581|7.43473869703077|6.925619395582456|6.880025827789895|6.314770348103758|6.138883405893375|5.28542210132405|4.929205667964233|4.616086605981582|4.278606520414211|3.265500572289533|3.0729668654189313|2.6610240645458716|2.6213485800229606|2.608713633396544|2.5424735468724413|2.535986361132137|2.4699729933321475|2.3940338218071036|2.333292810861531|2.3088369193483453|2.2891721288579387|2.2021026393842824|1.6827515471154926|1.6297798392312226|1.5894113504486482|1.5894113504486482|1.5324739151898081|1.2383160524812842|1.1985683824352875|1.1297328895982868|1.1196660969520165|0.7790039096068406|0.7522032350776429|0.7271823255600189|0.7236591463464723|0.6386766510738326,3|31|10|9|1|8|32|33|23|14|39|38|11|7|2|30|28|6|34|16|36|15|5|22|19|40|13|37|21|17|24|27,16,FALSE,21,31|1|10|9|3|5|8|15|40|13|19|22|36|17|30|37|32|11|14|39|33|2|27|23|35|20|34|7|12|4|38|28|0|41|16|29|6|26|18|25|21|24,15,FALSE,1
31,mechanistic,31,Step 1 ATLAS Score.pdf,5|19|15|3|22|10|36|9|1|8|40|31|24|21|37|13|17|23|27|7|12|14|20|32|35|4|39|41|38|34|33|11|0|29|26|28|18|30|2|6|25|16,12,FALSE,0.6514412412052584|0.6480500099705582|0.646013908390609|0.6409393206090368|0.6384968791386639|0.6356764335441957|0.632781008068954|0.6321850318567952|0.6181507766118459|0.6125102721989198|0.6103567977113955|0.6101553589294018|0.6020903660964888|0.5988397067912608|0.5965788578007923|0.5956647822913316|0.5783681280091717|0.2380016252446114|0.232026955633359|0.2293105365508357|0.22907326353844215|0.224995453385798|0.21462828879082468|0.20989007949334204|0.20549240244786132|0.1996970666415976|0.19161795310708216|0.1347646378141086|0.13274374139331682|0.12247919008350423|0.10831893998931237|0.10689606563738589|0.1040398697551761|0.10376437954117197|0.0881518385103349|0.08494825753487129|0.08456714565519165|0.08422886083822506|0.082243168510786|0.07876576869223055|0.058016684501234844|0.05756443816455004,12|9|8|31|1|7|39|2|30|36|32|3|10|40|0|13|29|14|6|5|34|33|19|16|41|20|11|38|37|35|21|25|28|17|15|4|24|27|18|23,4,TRUE,9.050590765432517|7.5928039775091705|7.181471386897062|6.9402275063305146|6.8336627327126305|6.252857722034104|6.1808933372919785|5.951665478597361|5.524798764124209|5.101285105730131|4.996213421085483|4.684977901066011|4.631603764838177|4.395138462170846|4.19138906057005|4.173360845041035|4.157652056332269|3.9778728388270785|3.5605534501750036|3.5237727775923746|3.372605065848069|3.235128530826819|3.207519181503716|2.6174328570092347|2.5627444341243564|2.305161260268873|2.118886587684419|2.1181280365664454|2.0900426338385922|2.073513688355048|1.8286325505025238|1.3089347914046168|1.259956903332955|1.2116397961291807|1.1297328895982868|1.1119672692994005|0.787780317365655|0.7421389975637424|0.5509452632809687|0.3541901497740778,5|3|10|36|9|1|8|40|31|13|7|12|14|32|39|0|29|30|2|6|19|15|22|24|21|37|17|23|27,9,FALSE,3,9|8|1|31|36|10|3|40|13|5|19|12|37|15|21|24|17|7|39|32|2|14|30|0|29|35|20|34|6|33|41|38|27|4|23|11|16|28|25|18|22|26,4,TRUE,5
32,procedural,32,Step 1 ATLAS Score.pdf,15|36|3|5|1|22|10|19|13|9|40|31|21|8|37|24|17|4|32|12|23|35|20|41|14|0|11|27|39|33|38|7|29|34|26|18|28|30|2|6|25|16,19,FALSE,0.7577281197748743|0.7549044767520474|0.7530259021935806|0.7527675625933302|0.740204529810335|0.7349393137134145|0.7324441454487823|0.7280961139634408|0.7274777888036863|0.7226092391134453|0.7180469541641235|0.7149577449465356|0.71077953953902|0.7068717287252034|0.7061997842838837|0.6820678890237075|0.6684101571147415|0.2584972295312017|0.2417237936334513|0.21479494504783836|0.20692472016800637|0.20182608926301704|0.19987485127186327|0.19490931057768904|0.19430678632713863|0.18618358894286582|0.1849106285641761|0.17946668993335296|0.16699349257806018|0.16106402790148638|0.13253856712697423|0.12227518374860588|0.11324968896055106|0.110067906886856|0.10078960852761575|0.09994008993718456|0.09953428594779411|0.0993192023514407|0.09871406145273033|0.0949419796585008|0.06945068590277985|0.06687319018296527,32|31|39|19|12|20|2|1|30|3|6|5|14|34|38|13|8|35|16|28|4|41|33|10|7|23|0|9|29|37|25|40|36,1,TRUE,14.08306519456528|9.38149222097491|4.873054130968092|4.406087563939003|4.390623933778428|3.5282667928953706|3.38370895347152|3.2247955576543497|3.1720205413447853|2.6213485800229606|2.608713633396544|2.4699729933321475|2.3877837888067273|2.3088369193483453|2.2390130359816935|2.2021026393842824|1.926301427879956|1.8928169517522637|1.5465685193721488|1.259956903332955|1.2383160524812842|1.1196660969520165|1.0005042898567151|0.8817197841551299|0.8279562249975134|0.792798749403994|0.7790039096068406|0.7653690266252517|0.7522032350776429|0.7271823255600189|0.7236591463464723|0.681830597522563|0.6386766510738326,3|5|1|19|13|31|8|32|12|35|20|14|39|38|34|28|30|2|6|16|15|36|22|10|9|40|21|37|24|17|4,8,FALSE,11,31|32|19|1|3|5|13|8|36|10|9|40|37|12|39|20|4|14|35|30|38|23|41|34|2|0|33|6|7|28|29|16|25|11|15|17|18|21|22|24|26|27,2,TRUE,6
33,procedural,33,Step 1 ATLAS Score.pdf,36|5|22|15|3|19|40|1|8|9|10|13|31|37|21|24|17|23|27|39|4|11|14|20|12|7|41|29|33|32|35|38|34|0|26|2|30|18|28|6|25|16,29,FALSE,0.7330853885862881|0.7241254139895122|0.7200592127874913|0.7160642381486026|0.7094565233222306|0.7062575087631776|0.7026996570953022|0.6999546617818796|0.6877286875876402|0.6864298046604591|0.6850657261629819|0.6805634321886662|0.6744180349197431|0.6731181849852313|0.670308840918782|0.6544968840799704|0.6507568777235887|0.23119246655939693|0.2280401251420313|0.22584293668996|0.21173170588525164|0.20610697367339592|0.20534390212052073|0.20273608573061144|0.20219347330200882|0.19597927913558574|0.19398453885079237|0.19218343699779736|0.15943565267104987|0.1428284492779776|0.13689224040263454|0.13186581566065914|0.12080818839692224|0.10571271530868451|0.09764746621104699|0.09397833665878721|0.09368029145407639|0.09343080994979307|0.09294624922495491|0.08882143038328741|0.0660298394132113|0.06382076907467056,32|14|39|8|34|19|1|20|33|3|38|6|40|35|12|5|4|13|21|22|7|37|9|31|2|28|36|0|29|27|16|30|11|17|25,9,FALSE,11.752482707168655|8.568154435720718|7.1506948143025255|6.732969661613029|6.702527938008352|4.43392179579203|3.621871629190218|3.5669273796453695|3.2492219645932297|3.0908190170013174|2.8577112460848033|2.654377961510693|2.45698607707232|2.377048005409508|2.183846287523333|2.054181501957224|2.004342931505724|1.9932048535562052|1.9810906219591997|1.9125051521525438|1.8547359332277653|1.6289885243973485|1.4815287492121527|1.3550371434801893|1.342352114291763|1.259956903332955|1.23628966825139|0.7790039096068406|0.7522032350776429|0.7421389975637424|0.7231765647161755|0.7231765647161755|0.6804310285328378|0.6804310285328378|0.5947175978503022,5|22|3|19|40|1|8|13|21|39|4|14|20|12|33|32|35|38|34|6|36|15|9|10|31|37|24|17|23|27,15,FALSE,14,8|19|3|1|5|40|36|37|13|32|21|9|22|31|17|14|39|34|20|7|33|4|12|38|35|27|11|29|6|2|28|0|30|16|25|10|15|18|23|24|26|41,21,FALSE,-6
34,procedural,34,Step 1 ATLAS Score.pdf,36|3|5|19|15|21|40|13|22|1|8|10|9|31|17|37|24|4|23|27|29|14|20|35|7|12|41|32|11|39|33|34|0|38|26|28|18|2|30|6|25|16,32,FALSE,0.7216642979233227|0.7107286472204671|0.7062399406521328|0.7058636287592911|0.7042028765696169|0.6999821929306107|0.6954656283481203|0.693149315579391|0.6917886865963377|0.6893439053692157|0.6773772257365132|0.6765514341430854|0.6743653763827758|0.674044206045614|0.6555897753586049|0.6555016144032806|0.6469785458881627|0.25403073014255306|0.2340758239017435|0.21777732672506905|0.21560870520376507|0.20823410691029143|0.20444105574208551|0.2031272475574796|0.19968808139904132|0.19956539734987488|0.19715598712688728|0.18799859635761862|0.18623538628799624|0.1800757518978777|0.1659043717400506|0.11839676637543163|0.10528129655033791|0.09880136178709142|0.09562995820681969|0.09335570720995123|0.0933099981844971|0.0928845538436767|0.09135027334698974|0.08833571752153864|0.06912471896915764|0.06260841231916106,34|35|39|36|14|37|33|40|6|32|19|30|20|3|12|31|29|38|2|0|8|5|13|11|27|21|1|9|41|4|17|28|25|7|16,1,TRUE,16.855508540336523|12.2985049348491|9.911823528542424|9.63594166230746|9.546283973907162|9.254347527249175|8.64383705762597|7.6198315718835365|6.986250805973365|6.682472694869312|6.415038363007432|4.83286050984994|4.610322520537746|4.597406028082803|4.278082040933352|4.080949366641583|3.601758164862474|3.3667515567220714|3.2653030478849594|3.2155976791734107|3.072008077743858|3.04715720719895|2.9567049110075154|2.84307030662659|2.724672233877345|2.6140413512091314|2.5283251734541135|2.1976884717990535|1.5379412632797227|1.4407251018205816|1.3608620570656755|1.259956903332955|1.1894351957006044|1.1372569430112482|0.7231765647161755,36|3|19|40|31|37|29|14|20|35|12|32|39|33|34|0|38|2|30|6|5|15|21|13|22|1|8|10|9|17|24|4|23|27,15,FALSE,17,36|37|40|3|19|31|5|13|21|8|1|34|9|35|17|14|39|33|32|6|29|20|12|11|27|4|41|30|7|0|38|2|28|25|16|10|15|18|22|23|24|26,12,FALSE,3
35,procedural,35,Step 1 ATLAS Score.pdf,3|19|5|15|36|10|31|40|9|8|22|21|13|1|24|17|37|4|35|23|20|32|7|29|39|27|14|12|38|0|41|34|26|28|18|30|2|6|33|11|25|16,19,FALSE,0.5612572666457974|0.5605317287531231|0.5528571665438636|0.5512322302705547|0.5492056384592474|0.5483819338862557|0.5458680991711402|0.5423755877512992|0.5385715833223905|0.5378868543775673|0.5348985464085779|0.5332888409890534|0.5286412381827376|0.5281252110147038|0.4953814539809348|0.48331091390502107|0.4805487401166991|0.33393673668294904|0.2455751693427508|0.24496744672359622|0.23421623421976256|0.22234552734587232|0.21726017985667062|0.20728595912813247|0.19682755595005358|0.18478998777016764|0.1479588619160388|0.14682449426218405|0.14680410186437595|0.10242057323075099|0.08683224851265571|0.08458697131694125|0.07431021175247632|0.07396333375222507|0.07353114531941057|0.07032647240730412|0.0696537159636808|0.06880429815733452|0.06392780485441067|0.06352638358080448|0.05441714378487002|0.049673719576727914,37|35|39|36|3|32|38|34|2|29|40|33|5|0|7|8|12|41|30|14|1|19|13|9|21|31|20|24|17|25|27|6|23|11|16|10|4|18,2,TRUE,12.6410233135162|12.625972896017162|11.725851344951172|10.200474935270982|8.874478359436615|8.211227541049391|8.121268190350596|7.974347031335551|6.397408865139776|6.2550037510394585|6.065703144935627|5.990310036475852|5.917789241416773|5.848978920529779|5.256955108892614|4.308527039694041|4.15281796395789|4.100685697404079|3.9813578462080894|3.9778728388270785|3.940080161662692|3.207519181503716|3.1436560489361405|3.1000526613092396|3.0186625994671843|2.328619889336148|2.305161260268873|2.299591121626099|1.9879180648052712|1.9874258181966966|1.9825332363136026|1.700915441913431|1.6270072749584124|1.4567092972089282|1.1398568294047198|1.1364019357505541|1.1119672692994005|0.5509452632809687,3|5|36|40|8|37|35|32|7|29|39|14|12|38|0|41|34|30|2|33|19|15|10|31|9|22|21|13|1|24|17|4|23,7,FALSE,12,37|36|3|40|35|5|8|39|19|1|9|13|31|21|10|24|17|32|38|29|7|34|4|0|33|20|12|2|23|14|41|27|30|6|25|11|18|16|15|22|26|28,5,FALSE,2
