question_id,question_intent,question_text,gold_chunk_id,gold_doc_id,retrieved_chunk_ids_dense,rank_of_first_relevant_dense,retrieved_in_top_k_dense,retrieval_score_dense,retrieved_chunk_ids_sparse,rank_of_first_relevant_sparse,retrieved_in_top_k_sparse,retrieval_score_sparse,retrieved_chunk_ids_hybrid,rank_of_first_relevant_hybrid,retrieved_in_top_k_hybrid,delta_de_hy_rank
24,definition,How are large language models defined in terms of scale and architecture?,76,2,56|630|130|276|536|232|62|609|61|17|1|178|49|488|20|31|83|54|565|291|571|109|84|545|386|518|572|591|182|555|616|562|15|581|263|41|279|34|149|163|30|241,,FALSE,0.7864432348823088|0.7802001563452402|0.7761322449883759|0.7688552228229303|0.7573307994825614|0.7561422258656508|0.7558139718919498|0.7516524418165365|0.7498458414943346|0.7495779797386837|0.7459622622531736|0.7458625043715802|0.7439947981014354|0.7405042596454154|0.7402364535017799|0.7395832724118118|0.7393054491876281|0.7384166161517475|0.7373419770067399|0.7368184378594806|0.7361442717980274|0.7355955708723091|0.735330094379832|0.7352434287568993|0.7350382631928124|0.734150080087277|0.733413740072739|0.7331004466206502|0.7322251639403099|0.7319098732528748|0.7312322278524188|0.730319165397324|0.7302304434039933|0.7299596623914137|0.7299415098793783|0.7297699841192017|0.7296425451484626|0.729590713629047|0.7295142934227005|0.7294075601860561|0.7293884818519373|0.7293793962919177,87|382|72|293|381|386|160|259|111|330|153|110|165|154|257|310|395|234|484|164|200|65|384|359|80|264|509|150|76|363|180|481|260|167|504|149|162|405|171|393|178|582,29,FALSE,15.692537851427486|14.36639856534088|12.467444384130307|12.28091215749473|12.039998606615644|11.760620065944863|11.562965547205666|11.407019455742967|11.395942260391035|11.388014963923734|11.28216580945087|10.859850746957013|10.766055452460987|10.6595993554457|10.326438051851094|10.257842677138447|10.254417392829096|10.222837429397517|10.069436003344746|9.919736830669539|9.699010019282571|9.557699821398238|9.515852647942129|9.387957963354152|9.303611815791564|9.190093088516873|9.1190487319951|9.057761259595395|8.918627297220334|8.912345945474236|8.802605367346247|8.707250761582591|8.528732997697396|8.485485673471981|8.25483996069585|8.014970775210358|7.997741208319935|7.887845640071522|7.842425183826038|7.69854974827996|7.697972917043356|7.651621542264388,386|87|382|72|293|381|160|259|111|330|153|110|165|154|257|310|395|234|484|164|56|630|130|276|536|232|62|609|61|17|1|178|49|488|20|31|83|54|565|291,,FALSE,
25,capability,What emergent abilities are observed in large language models?,80,2,627|565|56|630|232|276|130|178|59|491|11|182|609|61|121|536|229|1|48|291|561|17|572|591|83|224|571|58|54|87|15|618|105|237|264|31|241|20|257|49|34|546,,FALSE,0.7286806331095876|0.7261735454180779|0.7251360594314519|0.7207262576796657|0.7163047298984041|0.7099601797647137|0.7098186463021855|0.7038501992159445|0.701738455999019|0.701242182789614|0.6991807537506768|0.6968637647392864|0.6950931057824664|0.6943144356490479|0.6933532820946005|0.6918915125913986|0.6918690786592471|0.6909436610591422|0.6909225967322291|0.6905447811533081|0.6893160848727712|0.6890242255961463|0.6861536464617233|0.685983178478283|0.685286285021746|0.6852532064361695|0.6852270753586834|0.6847588144886771|0.6847487102942471|0.6842977668894036|0.6841253220865431|0.6836953391090241|0.6831947011197955|0.6830064736173334|0.6821595203353396|0.6819352222625955|0.6819154150996558|0.6819067247174039|0.680595553550755|0.6804178367648016|0.6801856752321375|0.6798651558536045,111|80|79|332|113|331|87|84|302|382|384|381|72|192|65|141|359|386|363|110|253|160|277|126|405|500|178|325|69|168|539|293|484|234|200|276|395|158|510|376|626|182,2,TRUE,18.590072649418218|15.458567554962418|15.002691487948148|12.161308112083042|12.088545635129393|9.987503729351568|9.617435264493059|9.593545735922698|9.320687001840437|8.622690301946777|8.554765206336294|8.367211406015766|8.197693460330342|8.106815493691155|8.048935630167215|8.018801459184285|7.990730151402857|7.844660380123362|7.594952609183576|7.297869543923887|7.292548409009876|7.225476987003858|7.120126198155323|6.671755837320935|6.532592033401078|6.4850334696339855|6.401357316923484|6.395306908197673|6.347207308378072|6.33367015831386|6.089471927311416|5.988752482756798|5.898892881618803|5.874474361449619|5.793226305777177|5.7831540893900035|5.746184318471902|5.640966346485131|5.627910851469031|5.53663240715796|5.474740800259626|5.470112918795695,87|111|80|79|332|113|331|84|302|382|384|381|72|192|65|141|359|386|363|110|627|565|56|630|232|276|130|178|59|491|11|182|609|61|121|536|229|1|48|291,3,TRUE,
26,capability,What capability does instruction tuning enable?,81,2,627|178|565|576|491|628|274|276|630|56|609|232|580|616|55|241|105|128|228|130|48|182|2|352|204|17|59|121|62|11|224|83|264|574|536|432|559|42|291|1|552|161,,FALSE,0.6481349040036212|0.6360392329911627|0.6329419849437862|0.6294365794935197|0.6291809008109611|0.6259631875825473|0.6251021163865035|0.624436385330343|0.6236174801009097|0.6207797051413081|0.615717229676421|0.6142761151664837|0.6136855959971188|0.6136268144198411|0.6122652563910607|0.6114159315517871|0.610336474881969|0.6101208731348133|0.6098052288449578|0.6090156405262785|0.6089973226551965|0.6086058202378116|0.6083760727438723|0.6077147401492542|0.607593919195093|0.607578327374203|0.6075001374552192|0.6074744323871082|0.6065416322836934|0.6063395666290768|0.6055310383537044|0.6054592013590715|0.6046737801264684|0.604427429287876|0.6042591635617073|0.6040461723650821|0.6033866951614073|0.6027163212720943|0.6018090106214872|0.6017636200462118|0.6016036859200199|0.6009526139438061,356|187|386|210|216|143|120|373|141|80|207|217|88|331|384|253|133|364|142|167|542|215|362|168|363|81|146|302|539|203|243|506|209|226|242|212|337|354|221|372|105|228,26,FALSE,10.349053816677788|9.365170195413452|8.899117655406206|8.440924945636699|8.095757566679968|7.954364979392466|7.365875748226296|7.326282968639141|7.26314374990881|6.784345258544606|6.755156994560961|6.638499179795664|6.463953418315267|6.354595302141153|6.085906179936339|6.047148146521188|5.94268335013602|5.809013479886575|5.711163386198021|5.621507331503572|5.407723054089909|5.367670620791543|5.337693197494183|5.299302706094463|5.299302706094463|5.073144798205764|5.073144798205764|5.052375617508856|4.631613919347086|4.6243815891796345|4.524241508221007|4.50878873114515|4.467942812085742|4.381090228864675|4.353540203134374|4.228012891543051|4.207510622077384|4.127452082083097|4.080211214701569|4.03182227109897|3.965305335630122|3.9090690791728355,356|187|386|210|216|143|120|373|141|80|207|217|88|331|384|253|133|364|142|167|627|178|565|576|491|628|274|276|630|56|609|232|580|616|55|241|105|128|228|130,,FALSE,
27,historical,Which neural architectures were commonly used before Transformers?,83,2,56|630|232|276|130|536|61|291|565|178|488|84|609|627|59|491|17|54|1|83|182|618|571|572|591|561|224|20|580|31|257|15|555|62|581|149|161|263|11|41|121|226,20,FALSE,0.7645494456280596|0.743771623861193|0.7377314969593338|0.7356247465029958|0.7299072824868953|0.7296714799714896|0.7276230982488611|0.7267845118990287|0.7263934103696429|0.7244149921234162|0.7243551910322511|0.7234880524922481|0.7212806267417207|0.720957531210492|0.71826749160509|0.7179538557837621|0.7172953717159959|0.7172642227144438|0.7165402652178257|0.7163332912973527|0.7160952823235199|0.7145760288347378|0.714348703852106|0.7129301042951057|0.7123652895219352|0.7112009897552483|0.7107643976921068|0.710243573624189|0.7090345224242756|0.7079485955076023|0.7077669058765527|0.7069969288691069|0.7061629202265979|0.7050816821244437|0.7046421318872812|0.7044960641790472|0.7043800665542577|0.7037697154785674|0.7029767732231704|0.7025843871534116|0.7021934126165853|0.7020330596647415,387|182|90|207|495|232|154|313|516|271|270|245|205|131|230|76|340|88|383|153|235|3|194|274|410|192|204|52|296|390|193|359|208|210|144|602|324|169|187|82|408|532,,FALSE,10.557140421866546|9.566282001798921|9.179933637491029|8.851423860712433|8.166043767126215|7.8202694895129525|7.374204169723357|7.315269440323419|7.308533043897139|7.228395761820438|7.13267005857168|7.023099846738595|6.985903531900668|6.879417075897784|6.664001597196304|6.448539826876407|6.3418804932778|5.94932935024354|5.9116808690007945|5.877685609656035|5.642211503780424|5.3527102942445905|5.227460888720829|4.97984482554432|4.885213092169654|4.876407466843979|4.876407466843979|4.813045903234171|4.722113323555424|4.708875425233899|4.6844294895410625|4.663095424134052|4.556913600061716|4.521809273926683|4.432086393860473|4.16709686506731|4.0697671670139695|4.062197161637439|4.033594790335052|4.031563701509776|4.031563701509776|3.9814243091082915,232|182|387|90|207|495|154|313|516|271|270|245|205|131|230|76|340|88|383|153|56|630|276|130|536|61|291|565|178|488|84|609|627|59|491|17|54|1|83,39,FALSE,-19
28,comparative,What advantage do Transformers have over recurrent neural networks?,85,2,56|630|130|232|276|61|17|536|54|618|178|609|364|491|565|291|561|1|627|488|571|84|83|20|31|591|580|581|182|62|264|49|509|59|572|15|518|552|545|257|555|570,,FALSE,0.7596088772786846|0.7505665676223758|0.7390941761282019|0.73832937085201|0.7379430967936339|0.7350938502146734|0.727956799010734|0.7269654344971557|0.7248293889049469|0.7238424972017676|0.7232760238258141|0.7232271511054005|0.721345481713961|0.7213284832430944|0.720508401337286|0.7201737401105902|0.719238478737413|0.7172364443490746|0.7160874418512797|0.715677209882968|0.7156534687566491|0.7154238385519014|0.7140895012077946|0.713727172449696|0.7123608419552178|0.7122239721126447|0.7122138461260519|0.7119225694754341|0.7115721205916623|0.7111926099544835|0.7101456142657002|0.7095432008816702|0.7090639822600002|0.7080422143517119|0.7073838862325824|0.7068885961168326|0.7050898726665918|0.7048529019408092|0.7046157561800008|0.7045883921224898|0.7042923229458279|0.7036634793253753,408|56|74|410|257|86|140|155|82|76|83|152|607|228|65|181|70|229|384|253|258|379|495|540|36|206|154|561|302|34|528|52|539|63|588|553|608|233|32|2|29|64,,FALSE,12.932002576009156|11.281360716831916|10.38496581223167|10.280097766013082|9.184794819968992|8.335720141144675|7.824807500241336|7.650406944491303|7.608528285499675|7.567247068047346|7.483708507010039|7.284442933836253|6.710324355644591|6.61586953365784|6.379062226902328|6.366482753334502|6.299750438943065|6.206641933437408|5.9798223766108425|5.941739936849706|5.93239256010647|5.917630534332826|5.436813705097498|5.243881318747644|5.206757923317802|5.153424476842093|5.096523026704321|5.059001973256026|5.052375617508856|5.024101659200302|4.883072011331384|4.813045903234171|4.631613919347086|4.5655334419258695|4.5655334419258695|4.456850181615494|4.405860496223241|4.381090228864675|4.372233900430984|4.286771374430949|4.211517293731992|4.211517293731992,56|83|257|408|74|410|86|140|155|82|76|152|607|228|65|181|70|229|384|253|630|130|232|276|61|17|536|54|618|178|609|364|491|565|291|561|1|627|488,,FALSE,
29,definition,What components make up the BERT architecture?,91,2,627|576|565|178|630|274|628|491|55|559|616|56|276|241|609|228|232|204|224|49|121|17|128|580|59|182|130|2|264|11|352|574|131|48|105|229|432|62|42|536|1|552,,FALSE,0.6366754402706113|0.626142043449277|0.6194213829989982|0.6193337203898278|0.6190095696659271|0.6134734863078259|0.6119723284435907|0.6108968443679552|0.6099667842409676|0.6080601376153292|0.6077100081238751|0.6066709954748112|0.6063251727754078|0.6053329920752096|0.6046033046157122|0.6017071735578157|0.6001884243478864|0.599041642770214|0.5986704907567327|0.5982785684371121|0.5974008140704516|0.5971233694134547|0.5971166233029129|0.5968432982486253|0.596238024710517|0.5961394955233613|0.5958778008193094|0.5957809682902259|0.5957517976813637|0.5956055588837577|0.595451383876121|0.5949289101305513|0.5934663904282798|0.5915231915194639|0.5912709105591912|0.5911551076864617|0.5910591414145563|0.590540896803572|0.5905044226496363|0.5901932154744238|0.5895061612699979|0.5895042101594684,386|539|302|154|288|203|253|387|152|395|100|101|229|92|307|533|231|102|150|290|90|188|537|105|303|292|212|84|228|306|305|348|301|1|194|85|192|202|333|331|175|155,,FALSE,11.748996931838164|10.696567699417223|9.388985720229547|8.44332541539546|8.267143801402685|7.961372729255712|7.8465221803347704|7.344238966683218|7.3418194467130515|6.948252111703308|6.564785094718029|6.337909298105725|6.3011248165509794|6.057271462803799|5.917068696564842|5.877013523638058|5.569687296838507|5.527539331957698|5.433463739838672|5.317821203277203|5.309998289905135|5.119500537493665|5.084149882455037|4.847365560436472|4.847197082507276|4.7680515200160265|4.748463946384236|4.742212243310272|4.715039212932022|4.69651871391292|4.6144784761029465|4.565831679226373|4.541562718250167|4.507269100855817|4.452242305948891|4.425959563735482|4.3725938553920685|4.3592616642695345|4.325301011556281|4.320442239635646|4.225759959393454|4.219629279229187,229|386|539|302|154|288|203|253|387|152|395|100|101|92|307|533|231|102|150|290|627|576|565|178|630|274|628|491|55|559|616|56|276|241|609|228|232|204|224|49,,FALSE,
30,process,What pre-training objectives are used in BERT?,92,2,627|628|576|565|630|55|616|274|491|178|580|228|56|352|432|204|241|232|276|59|17|130|540|131|105|182|49|609|128|54|11|479|591|264|552|224|31|83|48|291|15|375,,FALSE,0.6323335488082411|0.6213902822455118|0.6204735445347641|0.6172260158367495|0.6130575534383551|0.6129339106839112|0.6111817113610875|0.6092119950408599|0.6066852057778632|0.6044335141205297|0.60267046458295|0.6026034231261148|0.6018449135640205|0.600568515484446|0.5997052730458965|0.5994600952380145|0.598913363411518|0.5980967590982863|0.5976783337837088|0.596558930280523|0.5959058098821822|0.5947117556821074|0.5941574795872391|0.5937653901829751|0.5922870896596418|0.5922140971866507|0.5920637772464721|0.5919777407145683|0.5917999039970265|0.5905610214528506|0.58980059551467|0.5886139126053603|0.5886084647326938|0.5885488929020016|0.5884261048151754|0.5881561625051324|0.5876942345246154|0.5871442263845997|0.5869744396887335|0.5867246417954672|0.5864640407511179|0.5862619254544953,92|152|164|184|192|106|539|209|302|102|111|210|179|253|207|88|242|100|73|393|101|235|155|87|503|414|497|127|396|168|90|249|394|386|194|313|596|154|107|153|211|215,1,TRUE,13.100652266089249|11.835946223905124|11.162354771760864|10.958321500649598|10.396417381259337|10.22167918627843|9.513257867212854|9.149746666042725|8.795564240119296|8.740355427628625|8.700609666973557|8.608865630995489|8.49907211676437|8.488549054376445|8.154552106001278|8.149640691741997|7.960150541183254|7.779940885667035|7.73087107715525|7.699023070164402|7.454081693928526|7.44716060105725|7.329033562178827|7.306198259880124|7.278944854278971|7.2731243512763175|7.223655085343089|7.169299376216061|7.160541667164149|7.1046227161714235|7.067103410500639|6.753292038443196|6.752277520831713|6.631438340541407|6.6294120176246265|6.487603330564332|6.291224991626095|6.188807082491211|6.142696343452025|6.115757190790951|6.0787514248751435|6.003012643729899,92|152|164|184|192|106|539|209|302|102|111|210|179|253|207|88|242|100|73|393|627|628|576|565|630|55|616|274|491|178|580|228|56|352|432|204|241|232|276|59,1,TRUE,
31,mechanism,How does replaced token detection differ from masked language modeling?,104,2,56|630|276|232|130|536|178|609|61|62|488|17|83|182|1|572|84|54|20|616|291|49|31|618|591|327|627|571|518|15|325|565|109|181|545|386|570|229|555|257|41|241,,FALSE,0.7764566052199442|0.7697690137077841|0.7619040136388496|0.7612316550274214|0.758056807817594|0.749970056036686|0.7492677570421937|0.7480169143377023|0.74748790451568|0.7458685884767959|0.7442487364312868|0.7395302668339786|0.7369630225715836|0.7366179061810465|0.7363704100667089|0.7358661811068251|0.7351117686047669|0.7342997945725226|0.7338251791600794|0.7336122236050076|0.7334428387757256|0.7332142877725907|0.7326819122214244|0.7317410214315404|0.7309700912379166|0.7303755315017313|0.7299411058436625|0.7295029079127153|0.7293479066723624|0.728387097065374|0.7282920745597437|0.7265503075190578|0.7256463984469745|0.725570764204098|0.7246439350784687|0.7244456839050301|0.7244360925846695|0.7238742549961648|0.7238680478500936|0.723807827463751|0.7231329010521211|0.7229208843536999,106|200|211|187|92|70|120|87|71|226|198|222|459|206|228|213|201|580|150|299|210|310|119|328|542|83|164|182|293|405|219|69|82|160|421|403|89|243|103|571|242|165,,FALSE,24.406416227920044|13.357155150947792|13.30025926124809|13.251208602538517|9.154816111439644|8.43446128709775|7.461076661258366|7.398386731337252|7.1897950966804505|7.184990461225584|7.11023815022115|6.750171789477254|6.663664862992245|6.576326109961386|6.50373440821583|6.364698511550934|6.354692453159746|6.155170310693567|6.15459472007258|5.890963949113066|5.861834434808754|5.8133597430977915|5.611355744662145|5.506958726952576|5.407723054089909|5.276012897804065|5.2549931736231095|5.221767478979906|5.162699073040383|5.1611940511221945|5.043662719658813|5.013543759696553|5.013543759696553|5.013543759696553|4.962819759965276|4.818900686350354|4.63905948391748|4.524241508221007|4.430585970568965|4.385937693352419|4.353540203134374|4.344057221470816,106|200|211|187|92|70|120|87|71|226|198|222|459|206|228|213|201|580|150|299|56|630|276|232|130|536|178|609|61|62|488|17|83|182|1|572|84|54|20|616,,FALSE,
32,process,What training approaches are used in XLM?,107,2,627|628|491|630|565|375|616|540|228|241|274|131|55|178|395|576|479|195|204|182|618|574|105|232|56|275|59|224|327|58|352|276|15|609|128|138|130|121|161|393|517|2,,FALSE,0.5980597450373268|0.592800020138223|0.58601282151984|0.5841495795072414|0.5833768315884877|0.5787881952891871|0.5787082132160051|0.5758329892133802|0.5758173374493277|0.5746749840524454|0.5735007925352583|0.5729537526305938|0.5705195006641957|0.569274454043345|0.56853435142061|0.5679064639380376|0.5676986647418629|0.5659555487395473|0.5656726377492616|0.5650863609327831|0.5647153068412752|0.564144385349035|0.5639682888039633|0.5638851380199831|0.5637374698167482|0.5636048421105476|0.5626365068388695|0.5617992236410552|0.5617325426990228|0.560792647134118|0.5603864556442222|0.5599660480398098|0.559937694660828|0.5596922284281248|0.5590150377128017|0.5587387851017379|0.5578323837491508|0.5575913028025995|0.5566953351588732|0.556642763522577|0.5558701789384942|0.5558113319073474,210|235|192|302|253|179|220|211|380|539|249|394|111|386|152|218|313|209|88|153|275|242|79|247|93|73|393|493|212|384|388|244|217|255|359|327|155|69|257|351|168|236,,FALSE,11.310404119844687|10.622723285317871|10.396417381259337|8.795564240119296|8.488549054376445|8.268459988787356|7.811176634674263|7.3858516064954784|7.078854982229049|6.94625474256121|6.753292038443196|6.752277520831713|6.7423569230701315|6.631438340541407|6.593097348911721|6.524907299246106|6.487603330564332|6.229087455066859|6.203859061102481|6.115757190790951|6.050336113317902|6.038840597356525|5.963390754403544|5.932750375362872|5.914214890456489|5.845135876543196|5.836281402931319|5.805592080104725|5.610259699575376|5.606669546908401|5.580774494587789|5.560983595621235|5.49329984108749|5.46630716302106|5.4129843976465875|5.398239905470819|5.383251931539312|5.307264041482581|5.214806234068693|5.172543154207398|5.158841085531908|5.156645906743693,210|235|192|302|253|179|220|211|380|539|249|394|111|386|152|218|313|209|88|153|627|628|491|630|565|375|616|540|228|241|274|131|55|178|395|576|479|195|204|182,,FALSE,
33,comparative,What architectural modifications distinguish LLaMA from GPT-3?,128,2,56|565|627|630|491|276|232|178|130|11|59|536|61|182|17|1|229|576|291|609|618|241|591|352|15|20|274|204|257|62|48|31|54|128|83|580|571|552|616|561|224|312,34,FALSE,0.7262557771252971|0.7257211271770431|0.7237921586442664|0.7199913574783232|0.7151968098576548|0.7078035368652362|0.705447448323857|0.7035265509712446|0.6985923568067179|0.6979519564950868|0.6978841769992787|0.6973920963342611|0.6970052634839612|0.6927432506810439|0.6926553342760178|0.6926247746622533|0.6923867052031129|0.6918306201375847|0.6905610540955032|0.6902933707184623|0.6874372163719226|0.6873697739916925|0.6868443589773343|0.6862389393091973|0.686184482413532|0.6854690120241544|0.6851056405664613|0.6841345035805949|0.6840930977486716|0.6836853416628099|0.6834001192111923|0.6833851153331255|0.68291962979697|0.6822256118203375|0.6820704538230354|0.6809707934023504|0.6803819786242425|0.6800539933792147|0.679355066108784|0.679354795788708|0.6793383418518161|0.6788652451175117,111|114|127|96|128|386|122|112|228|373|136|356|95|137|365|67|213|90|126|117|132|113|81|164|115|108|370|135|130|348|124|183|369|331|490|123|357|507|165|396|129|302,5,FALSE,12.615344650445403|12.112420195052017|10.805181849551968|9.634552563097818|8.982181177311633|8.69497656630102|8.694973429590522|8.056597077471412|7.794083273411265|7.578306018044286|7.555489207022301|7.448614108751654|7.088525513643463|6.750071541364414|6.7437643296765515|6.715995296487156|6.706808255594682|6.578849321229562|6.560071597702651|6.517694983526775|6.512726243866888|6.498886857700988|6.379692933270903|6.302839853104802|6.227826193999804|6.22566593324535|6.184674523585414|5.959425406757623|5.7893722155127705|5.748104903327839|5.7127085635235275|5.575119154171526|5.535851703583198|5.414393686261702|5.386720732334931|5.25288616193049|5.205877547265564|5.140578984756085|5.124013651240707|5.074258813024958|5.062321636988068|5.052375617508856,128|111|114|127|96|386|122|112|228|373|136|356|95|137|365|67|213|90|126|117|56|565|627|630|491|276|232|178|130|11|59|536|61|182|17|1|229|576|291|609,1,TRUE,33
34,principle,What scaling rule does the Chinchilla study identify for compute-optimal training?,155,2,630|536|56|130|61|232|15|276|17|54|1|49|565|386|84|572|581|123|109|291|62|518|498|561|31|591|495|545|517|552|357|616|327|570|229|629|265|192|557|178|241|627,,FALSE,0.8330784618940573|0.8168438428986536|0.8131573716698239|0.8118141711264906|0.8063970116731047|0.805918839810419|0.7962262438489971|0.7958700137965651|0.793730665920984|0.7898181666281312|0.7886744281263522|0.7885647136936969|0.7870330368703756|0.7851182745440853|0.7850520833629515|0.7848971276737291|0.7845408710826313|0.7845055752859692|0.7842219331338047|0.782588903581486|0.7825623617727885|0.7805227449480137|0.778972836744265|0.7780115849074749|0.7779841032967811|0.7777162527083042|0.7774721210718895|0.7759784954241329|0.7752166980307555|0.7743816484570526|0.7742597288651901|0.7741695618243655|0.7736146037537598|0.7733418253647394|0.773262116810348|0.772311318942942|0.77215123295883|0.7708733237771898|0.7708364449762533|0.7704523424055685|0.7703687622226968|0.770301826352971,155|156|399|166|190|235|242|539|302|220|203|210|192|542|254|419|66|243|421|226|86|138|152|247|386|405|270|115|331|209|384|157|144|105|236|228|244|369|348|74|246|67,1,TRUE,19.76868141142619|18.954719625108382|10.395654538851952|9.857670124997117|9.367958029934474|8.354172938159804|7.891509056633235|7.7267200470244415|7.600679241249146|7.395684413406014|7.271878218919017|7.22463007467292|7.187591702693387|7.075240479817384|6.9708296986718175|6.681583695583545|6.5878948043801255|6.446336024717178|6.427889744256365|6.287753012787009|6.128563249466325|6.020850918372199|5.971896714188664|5.7061716630698065|5.627370412907955|5.602517087388278|5.485074979217808|5.444669056095269|5.321996045453127|5.290317074979846|5.24308075239259|4.984272680900484|4.868986156262341|4.847365560436472|4.8315864906956945|4.715039212932022|4.714280269493085|4.6649215678010165|4.565831679226373|4.562528829127882|4.555629118916782|4.406264302329944,192|155|156|399|166|190|235|242|539|302|220|203|210|542|254|419|66|243|421|226|630|536|56|130|61|232|15|276|17|54|1|49|565|386|84|572|581|123|109|291,2,TRUE,
35,definition,What types of memory are combined in retrieval-augmented generation models?,516,3,56|630|276|61|130|536|232|178|17|263|83|609|54|627|291|1|565|561|49|182|62|31|109|555|518|241|571|84|591|581|572|48|386|491|15|570|510|41|618|357|488|552,,FALSE,0.7985280086486758|0.7949275254671663|0.7891043005225034|0.7804548626193342|0.7751174682847136|0.7732247475804503|0.7722387773706922|0.7673456032588576|0.7630816159416565|0.7614346572509466|0.7607005160159523|0.7590529321207079|0.7589247901472327|0.7572170044460925|0.7570556681107787|0.7559729024860186|0.755236153423682|0.7541923057206058|0.7528116227576819|0.7525039588847874|0.7521090374627557|0.7515406822810272|0.7514654468925399|0.7501310807354512|0.7501141719248381|0.7497635941216518|0.7495340557530334|0.7490778607020387|0.7481659902296397|0.747947753984277|0.7477248493298774|0.7467945558797812|0.7467047937778145|0.7465698004890614|0.7439355834463652|0.7437784167292766|0.7424661780261997|0.74214640921756|0.7419476451139873|0.7410236390186904|0.7407319086800479|0.7407276460795216,293|292|192|288|465|302|214|265|253|111|514|261|79|467|384|463|528|395|299|386|81|308|126|513|582|290|580|139|183|255|530|539|570|149|237|71|509|382|89|498|236|611,,FALSE,14.92225784133739|13.518302042349243|12.84797318694089|12.171406916987456|12.129116543715309|11.958205308577144|11.883016986925172|11.605704896032869|11.28984532554076|11.279094222752516|11.179538921529655|10.803497477411355|10.343671284941198|9.87588994285706|9.76403507202091|9.751033819719074|9.593222770742663|9.054926512337495|9.020312296683255|8.380584460747503|8.335369425453893|8.149897967588341|7.721056147152222|7.504405381748583|7.5037110068749|7.337070812917741|7.126274635544178|7.081200590866462|7.0161424175500615|7.016047121883175|6.923833032327774|6.7334605683915285|6.675474615293796|6.570024876552896|6.540294013902724|6.539980181398525|6.510201005758544|6.5021156271622464|6.4585784197942635|6.452575502728299|6.440108098132451|6.33960804483033,386|293|292|192|288|465|302|214|265|253|111|514|261|79|467|384|463|528|395|299|56|630|276|61|130|536|232|178|17|263|83|609|54|627|291|1|565|561|49|182,,FALSE,
36,definition,What serves as the non-parametric memory in RAG models?,516,3,491|627|565|56|630|276|312|128|59|232|291|536|576|61|130|11|580|17|274|47|1|15|178|241|204|187|182|327|263|618|323|193|257|561|83|31|583|591|264|224|571|552,,FALSE,0.6885323051583484|0.6800847715608477|0.673480155428458|0.6713158961781999|0.6668438119393483|0.6573133521741679|0.6557814029416169|0.6527757654941135|0.6524180151716944|0.650122727287534|0.6499907031122131|0.649883860197583|0.6494874484161637|0.6494722160184824|0.6490142749882277|0.6480874438736475|0.647682625905136|0.6474624075753858|0.6474446073325156|0.6448991390822327|0.6448166190219895|0.6447554798374662|0.6440697756822653|0.6435758759927062|0.643358240180423|0.6430933704804359|0.6420341993104045|0.6420341140813406|0.641481846693302|0.6409440637726782|0.6404991470549518|0.6395562041037129|0.6395246646548621|0.6392783282526286|0.6392513031459692|0.6382824566952071|0.6373386597440788|0.6365310472510533|0.6360723681971928|0.6355705629746553|0.6352405802281704|0.6351049012023943,526|289|546|519|586|528|231|384|253|335|111|77|302|105|291|533|386|588|532|539|348|237|541|534|288|611|308|573|228|126|179|84|359|578|182|518|192|300|568|559|579|178,,FALSE,17.45799258683831|12.144380452046095|11.823535388510681|11.497798074733353|11.332052704919354|10.932289872177368|10.645004577530385|10.239075958612709|9.377140053686675|8.650572406083452|8.146134776029527|8.053031466103812|7.667481120166798|7.458866028415157|7.212892932092064|7.115766369888382|7.057911984090304|6.918233388124232|6.8729863612609865|6.869937231774648|6.7359425092682885|6.580914007506722|6.524877130898595|6.488516830832284|6.365330563608008|6.33960804483033|6.23839785337441|6.165037220412815|6.1631673724911895|6.147097776484937|6.145979493115759|5.932804865943617|5.857930063891499|5.8306560700793835|5.764043471970524|5.665273298827746|5.627140482814853|5.612500764661781|5.574439707950786|5.516971694538953|5.4086537856003725|5.39204543578958,291|526|289|546|519|586|528|231|384|253|335|111|77|302|105|533|386|588|532|539|491|627|565|56|630|276|312|128|59|232|536|576|61|130|11|580|17|274|47,,FALSE,
